step,episode,epsilon,avg_reward,max_reward,loss
1000,0,0.0,0.0,0.0,0.0
2000,0,0.0,0.0,0.0,0.0
3000,0,0.0,0.0,0.0,0.0
4000,0,0.0,0.0,0.0,0.0
5000,1,0.99618,0.0,0.0,0.0156
6000,5,0.99474,0.0,0.0,0.02385
7000,9,0.99402,100.0,600.0,0.04485
8000,9,0.99402,100.0,600.0,0.04485
9000,10,0.99268,100.0,600.0,0.04527
10000,11,0.99106,90.90909,600.0,0.02172
11000,11,0.99106,90.90909,600.0,0.02172
12000,13,0.98956,100.0,600.0,0.13998
13000,18,0.98843,144.44444,700.0,0.07425
14000,19,0.9879,136.8421,700.0,0.13941
