step,episode,epsilon,avg_reward,max_reward,loss
3000,9,0.99973,11.11111,100.0,0.0
6000,19,0.99947,15.78947,100.0,0.0
9000,29,0.99923,20.68966,200.0,0.0
12000,41,0.99892,19.5122,200.0,0.04016
15000,54,0.99867,22.22222,200.0,0.0073
18000,64,0.99842,21.875,200.0,0.00341
21000,76,0.99813,21.05263,200.0,0.00552
24000,89,0.99786,19.10112,200.0,0.00116
27000,99,0.99759,20.20202,200.0,0.00532
30000,111,0.99732,20.0,200.0,0.0055
33000,123,0.99703,15.0,200.0,0.0047
36000,134,0.99679,15.0,200.0,0.00526
39000,144,0.99652,12.0,200.0,0.00316
42000,156,0.99623,13.0,100.0,0.00338
45000,169,0.99595,10.0,100.0,0.00187
48000,179,0.99569,9.0,100.0,0.00902
51000,190,0.99545,10.0,100.0,0.00186
54000,201,0.99515,8.0,100.0,0.0028
57000,211,0.99487,7.0,100.0,0.01567
60000,221,0.99462,12.0,200.0,0.0067
63000,232,0.99434,15.0,200.0,311.75906
66000,243,0.99409,19.0,200.0,0.00247
69000,254,0.99381,21.0,200.0,0.00421
72000,265,0.99353,25.0,200.0,311.79019
75000,276,0.99326,34.0,500.0,0.01323
78000,286,0.99299,37.0,500.0,0.02157
81000,299,0.99272,35.0,500.0,0.02085
84000,309,0.99251,39.0,500.0,0.02294
87000,320,0.99218,40.0,500.0,0.02879
90000,334,0.99192,38.0,500.0,0.00886
93000,343,0.99164,39.0,500.0,0.0212
96000,355,0.99138,37.0,500.0,0.01342
99000,364,0.99112,34.0,500.0,0.00248
102000,374,0.99085,35.0,300.0,0.0123
105000,385,0.99058,35.0,300.0,310.27057
108000,396,0.99029,42.0,300.0,0.03784
111000,405,0.99005,42.0,300.0,0.0438
114000,417,0.98975,44.0,300.0,0.00534
117000,428,0.98947,47.0,300.0,0.01292
120000,438,0.98923,48.0,300.0,0.01679
123000,448,0.98894,46.0,300.0,0.01162
126000,459,0.98867,47.0,300.0,0.02099
129000,468,0.98843,46.0,300.0,0.04815
132000,480,0.98812,38.0,300.0,0.09122
135000,490,0.98786,37.0,300.0,0.11324
138000,502,0.9876,33.0,300.0,0.05074
141000,512,0.98736,30.0,300.0,0.04993
144000,525,0.98704,27.0,200.0,0.03104
147000,535,0.9868,25.0,200.0,0.09665
150000,546,0.9865,27.0,300.0,0.05852
153000,556,0.98625,24.0,300.0,0.05356
156000,566,0.98598,28.0,300.0,0.05376
159000,580,0.98569,30.0,300.0,0.04946
162000,589,0.98544,31.0,300.0,0.09461
165000,601,0.98518,31.0,300.0,0.1415
168000,611,0.98494,31.0,300.0,0.05927
171000,622,0.98464,31.0,300.0,0.11278
174000,633,0.98439,29.0,300.0,0.02329
177000,645,0.9841,29.0,200.0,0.0386
180000,656,0.9838,30.0,300.0,0.05579
183000,667,0.98353,29.0,300.0,0.04366
186000,678,0.98327,31.0,300.0,307.59216
189000,689,0.983,29.0,300.0,0.08103
192000,701,0.98275,28.0,300.0,0.03061
195000,712,0.98247,30.0,300.0,0.01753
198000,723,0.98221,31.0,300.0,0.01816
201000,734,0.98193,33.0,300.0,0.03977
204000,746,0.98165,38.0,300.0,0.0472
207000,756,0.98138,37.0,300.0,0.04489
210000,766,0.98111,37.0,300.0,0.01536
213000,777,0.98086,35.0,300.0,0.01674
216000,787,0.98063,36.0,300.0,0.02546
219000,797,0.98035,39.0,300.0,0.01202
222000,812,0.98003,36.0,300.0,0.00997
225000,823,0.97976,35.0,300.0,0.09031
228000,834,0.97949,36.0,300.0,0.0199
231000,846,0.97923,31.0,300.0,0.02138
234000,856,0.97895,32.0,300.0,0.01125
237000,869,0.97868,28.0,300.0,0.03283
240000,880,0.9784,28.0,300.0,0.01158
243000,891,0.97814,24.0,300.0,0.0265
246000,901,0.97792,21.0,300.0,0.0329
249000,914,0.97759,20.0,300.0,0.00938
252000,924,0.97736,22.0,300.0,0.01093
255000,935,0.97709,20.0,300.0,0.0152
258000,948,0.97679,20.0,300.0,0.03084
261000,959,0.97652,24.0,300.0,0.16837
264000,969,0.97627,26.0,300.0,0.03748
267000,981,0.97597,29.0,300.0,0.00583
270000,991,0.97571,37.0,300.0,0.01562
273000,1002,0.97545,45.0,300.0,0.03481
276000,1013,0.97516,50.0,300.0,311.50406
279000,1021,0.97489,50.0,300.0,0.42857
282000,1032,0.97463,52.0,400.0,0.06409
285000,1042,0.97439,54.0,400.0,0.03382
288000,1052,0.97412,55.0,400.0,0.02271
291000,1064,0.97385,54.0,400.0,0.04161
294000,1075,0.97356,50.0,400.0,0.1783
297000,1086,0.97329,52.0,400.0,0.01467
300000,1097,0.97302,48.0,400.0,0.16863
303000,1107,0.97279,46.0,400.0,0.01164
306000,1117,0.97252,47.0,400.0,0.0696
309000,1128,0.97222,43.0,300.0,0.03477
312000,1138,0.97193,42.0,300.0,0.03532
315000,1148,0.9717,48.0,300.0,0.07397
318000,1160,0.97139,47.0,300.0,0.08374
321000,1172,0.97117,47.0,300.0,0.04031
324000,1185,0.97085,42.0,300.0,0.073
327000,1195,0.9706,40.0,300.0,0.0486
330000,1207,0.9703,40.0,300.0,0.15183
333000,1218,0.97003,32.0,300.0,0.10698
336000,1229,0.96976,31.0,300.0,0.04514
339000,1238,0.96953,31.0,300.0,0.0222
342000,1248,0.96927,28.0,200.0,0.0227
345000,1260,0.96895,25.0,200.0,0.07121
348000,1271,0.96872,22.0,200.0,0.06589
351000,1282,0.96844,27.0,500.0,0.31037
354000,1292,0.96817,29.0,500.0,0.01852
357000,1304,0.96788,30.0,600.0,0.0639
360000,1314,0.96763,33.0,600.0,0.03567
363000,1326,0.96734,35.0,600.0,308.68948
366000,1337,0.9671,35.0,600.0,0.07226
369000,1349,0.9668,31.0,600.0,0.02383
372000,1358,0.96652,32.0,600.0,0.03222
375000,1365,0.9663,33.0,600.0,0.04982
378000,1376,0.96601,35.0,600.0,0.04043
381000,1389,0.96571,28.0,600.0,0.02554
384000,1398,0.96549,27.0,300.0,0.02353
387000,1409,0.96521,22.0,300.0,0.00826
390000,1419,0.96494,25.0,300.0,0.05163
393000,1431,0.96463,29.0,300.0,0.02728
396000,1442,0.96437,29.0,300.0,0.00735
399000,1452,0.96411,33.0,300.0,0.04752
402000,1463,0.96383,32.0,300.0,0.02096
405000,1474,0.96358,28.0,300.0,0.01716
408000,1485,0.96329,32.0,300.0,0.02108
411000,1495,0.96302,34.0,300.0,0.27302
414000,1506,0.96275,34.0,300.0,0.02156
417000,1516,0.96251,34.0,300.0,0.13074
420000,1526,0.96221,33.0,300.0,0.00959
423000,1538,0.96195,31.0,300.0,0.01363
426000,1551,0.96167,28.0,200.0,0.01585
429000,1562,0.9614,30.0,200.0,0.03365
432000,1574,0.96114,30.0,200.0,0.03346
435000,1583,0.96087,30.0,200.0,0.01842
438000,1595,0.96058,37.0,500.0,0.03893
441000,1605,0.96031,35.0,500.0,0.00205
444000,1615,0.96012,33.0,500.0,0.04221
447000,1626,0.95978,35.0,500.0,0.08922
450000,1638,0.95952,35.0,500.0,0.04157
453000,1648,0.95928,32.0,500.0,0.01703
456000,1658,0.95903,30.0,500.0,0.0357
459000,1671,0.9587,30.0,500.0,0.08283
462000,1683,0.95845,32.0,500.0,0.35151
465000,1694,0.95817,24.0,200.0,310.7843
468000,1704,0.95792,23.0,200.0,0.02018
471000,1715,0.95764,29.0,200.0,0.02419
474000,1724,0.95738,30.0,200.0,0.01438
477000,1735,0.95711,32.0,200.0,0.03235
480000,1748,0.95682,35.0,200.0,0.07459
483000,1759,0.95657,40.0,200.0,0.49942
