step,episode,avg_reward,max_reward,loss
40480,146,23.0,200.0,35.77803
80960,296,34.0,300.0,66.58626
121440,443,34.0,400.0,79.65946
161920,586,37.0,300.0,65.802
202400,723,77.0,500.0,172.29125
242880,857,73.0,500.0,153.68966
283360,993,91.0,600.0,194.52382
323840,1123,121.0,700.0,243.62836
364320,1244,190.0,800.0,353.707
404800,1362,246.0,900.0,440.8859
445280,1478,242.0,900.0,455.44316
485760,1583,321.0,2700.0,587.93505
526240,1696,298.0,1300.0,569.14753
566720,1802,368.0,1400.0,681.0805
607200,1908,382.0,1300.0,678.00598
647680,2012,358.0,1200.0,603.45819
688160,2111,357.0,1500.0,622.52828
728640,2212,417.0,2100.0,659.60143
769120,2317,350.0,1500.0,604.76507
809600,2428,331.0,1100.0,681.32002
850080,2535,361.0,1100.0,636.30792
890560,2645,357.0,1400.0,631.09066
931040,2746,384.0,1300.0,664.78688
971520,2846,417.0,1400.0,672.35375
1012000,2943,386.0,1300.0,576.59946
1052480,3044,408.0,1400.0,695.07641
1092960,3136,486.0,1900.0,820.73766
1133440,3231,457.0,2800.0,719.28032
1173920,3322,490.0,3400.0,769.86879
1214400,3417,504.0,3400.0,733.65539
1254880,3516,423.0,2200.0,726.08632
1295360,3617,471.0,2000.0,833.29189
1335840,3723,439.0,2600.0,795.44565
1376320,3817,493.0,1500.0,726.38812
1416800,3904,501.0,1500.0,833.57993
1457280,3994,494.0,1900.0,759.02649
1497760,4081,576.0,2900.0,827.43476
1538240,4175,514.0,1700.0,783.95511
1578720,4264,510.0,1500.0,770.24902
1619200,4353,563.0,1800.0,844.04219
1659680,4444,546.0,2400.0,875.42233
1700160,4544,452.0,2100.0,818.30396
1740640,4638,496.0,1900.0,744.27524
1781120,4730,480.0,1700.0,807.44801
1821600,4823,507.0,2600.0,816.75169
1862080,4908,524.0,2200.0,858.30661
1902560,4998,561.0,2300.0,794.79839
1943040,5083,595.0,2100.0,927.03018
1983520,5168,630.0,2100.0,842.91479
2024000,5261,470.0,1300.0,685.87413
2064480,5348,539.0,1900.0,798.85966
2104960,5434,520.0,2100.0,762.72182
2145440,5525,487.0,1900.0,717.36767
2185920,5611,534.0,2300.0,815.18465
2226400,5697,556.0,2300.0,741.70515
2266880,5785,582.0,2200.0,878.45972
2307360,5868,619.0,2200.0,943.21031
2347840,5959,587.0,3900.0,823.63235
2388320,6046,558.0,3300.0,796.96446
2428800,6131,588.0,1800.0,905.53413
2469280,6219,612.0,2500.0,794.36191
2509760,6306,537.0,2500.0,800.8047
2550240,6389,593.0,2300.0,851.2696
2590720,6473,603.0,3000.0,896.99043
2631200,6566,483.0,3200.0,716.68365
2671680,6655,527.0,1900.0,820.4463
2712160,6745,504.0,1400.0,816.31209
2752640,6833,502.0,2000.0,713.15651
2793120,6924,506.0,1600.0,807.65679
2833600,7016,497.0,1900.0,770.85985
2874080,7108,498.0,1900.0,799.92977
